TrealK	TsampK	STsamK	TheaterK	STheateK	mi0HmT	sH	Memu	sMemu	Memupg	pointtoStat	timebetmeasms	actualTime
274,803727E+0	262,500000E+0	0,000000E+0	282,300000E+0	0,000000E+0	5,910000E+0	5,118213E+0	23,927333E-3	92,376043E-6	Inf	3,000000E+0	250,000000E+0	3,719844201610E+9
274,963571E+0	262,600000E+0	0,000000E+0	282,500000E+0	0,000000E+0	8,860000E+0	0,000000E+0	23,954000E-3	100,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844211600E+9
275,230484E+0	262,866667E+0	57,735027E-3	282,766667E+0	57,735027E-3	8,846667E+0	15,275252E-3	23,654000E-3	150,996689E-6	Inf	3,000000E+0	250,000000E+0	3,719844221600E+9
275,464032E+0	263,100000E+0	0,000000E+0	283,000000E+0	0,000000E+0	8,833333E+0	5,773503E-3	23,440667E-3	83,266640E-6	Inf	3,000000E+0	250,000000E+0	3,719844231600E+9
275,764308E+0	263,400000E+0	0,000000E+0	283,300000E+0	0,000000E+0	5,886667E+0	5,098013E+0	23,354000E-3	144,222051E-6	Inf	3,000000E+0	250,000000E+0	3,719844241650E+9
275,937596E+0	263,533333E+0	57,735027E-3	283,500000E+0	0,000000E+0	8,823333E+0	5,773503E-3	23,087333E-3	160,416126E-6	Inf	3,000000E+0	250,000000E+0	3,719844251640E+9
276,157695E+0	263,733333E+0	57,735027E-3	283,733333E+0	57,735027E-3	8,826667E+0	5,773503E-3	23,047333E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719844261640E+9
276,424610E+0	264,000000E+0	0,000000E+0	284,000000E+0	0,000000E+0	8,833333E+0	5,773503E-3	22,907333E-3	80,829038E-6	Inf	3,000000E+0	250,000000E+0	3,719844271640E+9
276,684529E+0	264,200000E+0	0,000000E+0	284,300000E+0	0,000000E+0	8,833333E+0	5,773503E-3	22,854000E-3	124,899960E-6	Inf	3,000000E+0	250,000000E+0	3,719844281690E+9
276,884718E+0	264,400000E+0	0,000000E+0	284,500000E+0	0,000000E+0	8,810000E+0	0,000000E+0	22,714000E-3	34,641016E-6	Inf	3,000000E+0	250,000000E+0	3,719844291740E+9
277,151635E+0	264,666667E+0	57,735027E-3	284,766667E+0	57,735027E-3	8,856667E+0	5,773503E-3	22,634000E-3	72,111026E-6	Inf	3,000000E+0	250,000000E+0	3,719844301740E+9
277,385187E+0	264,900000E+0	0,000000E+0	285,000000E+0	0,000000E+0	8,866667E+0	11,547005E-3	22,367333E-3	117,189306E-6	Inf	3,000000E+0	250,000000E+0	3,719844311730E+9
277,605286E+0	265,100000E+0	0,000000E+0	285,233333E+0	57,735027E-3	8,856667E+0	5,773503E-3	22,454000E-3	20,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844321730E+9
277,845290E+0	265,300000E+0	0,000000E+0	285,500000E+0	0,000000E+0	8,833333E+0	5,773503E-3	22,100667E-3	80,829038E-6	Inf	3,000000E+0	250,000000E+0	3,719844331720E+9
278,145575E+0	265,600000E+0	0,000000E+0	285,800000E+0	0,000000E+0	5,886667E+0	5,098003E+0	22,114000E-3	40,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844341720E+9
278,332307E+0	265,766667E+0	57,735027E-3	286,000000E+0	0,000000E+0	8,826667E+0	5,773503E-3	22,167333E-3	94,516313E-6	Inf	3,000000E+0	250,000000E+0	3,719844351720E+9
278,545953E+0	266,000000E+0	0,000000E+0	286,200000E+0	0,000000E+0	8,813333E+0	5,773503E-3	21,887333E-3	152,752523E-6	Inf	3,000000E+0	250,000000E+0	3,719844361710E+9
278,805863E+0	266,200000E+0	0,000000E+0	286,500000E+0	0,000000E+0	8,833333E+0	5,773503E-3	21,634000E-3	20,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844371710E+9
279,065757E+0	266,400000E+0	0,000000E+0	286,800000E+0	0,000000E+0	8,846667E+0	5,773503E-3	21,707333E-3	57,735027E-6	Inf	3,000000E+0	250,000000E+0	3,719844381710E+9
279,265951E+0	266,600000E+0	0,000000E+0	287,000000E+0	0,000000E+0	8,833333E+0	5,773503E-3	21,320667E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719844391700E+9
279,532876E+0	266,866667E+0	57,735027E-3	287,266667E+0	57,735027E-3	8,880000E+0	0,000000E+0	21,474000E-3	69,282032E-6	Inf	3,000000E+0	250,000000E+0	3,719844401700E+9
279,766435E+0	267,100000E+0	0,000000E+0	287,500000E+0	0,000000E+0	8,860000E+0	0,000000E+0	21,287333E-3	75,718778E-6	Inf	3,000000E+0	250,000000E+0	3,719844411700E+9
280,026323E+0	267,300000E+0	0,000000E+0	287,800000E+0	0,000000E+0	8,863333E+0	5,773503E-3	21,314000E-3	20,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844421690E+9
280,226519E+0	267,500000E+0	0,000000E+0	288,000000E+0	0,000000E+0	8,850000E+0	0,000000E+0	21,207333E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719844431690E+9
280,499869E+0	267,733333E+0	57,735027E-3	288,300000E+0	0,000000E+0	8,813333E+0	5,773503E-3	20,860667E-3	50,332230E-6	Inf	3,000000E+0	250,000000E+0	3,719844441740E+9
280,746904E+0	268,000000E+0	0,000000E+0	288,533333E+0	57,735027E-3	5,886667E+0	5,098003E+0	20,760667E-3	30,550505E-6	Inf	3,000000E+0	250,000000E+0	3,719844451740E+9
280,966995E+0	268,200000E+0	0,000000E+0	288,766667E+0	57,735027E-3	8,836667E+0	5,773503E-3	20,707333E-3	70,237692E-6	Inf	3,000000E+0	250,000000E+0	3,719844461730E+9
281,187086E+0	268,400000E+0	0,000000E+0	289,000000E+0	0,000000E+0	8,830000E+0	0,000000E+0	20,387333E-3	102,632029E-6	Inf	3,000000E+0	250,000000E+0	3,719844471730E+9
281,427067E+0	268,600000E+0	0,000000E+0	289,266667E+0	57,735027E-3	8,820000E+0	10,000000E-3	20,414000E-3	131,148770E-6	Inf	3,000000E+0	250,000000E+0	3,719844481730E+9
281,660632E+0	268,833333E+0	57,735027E-3	289,500000E+0	0,000000E+0	8,860000E+0	0,000000E+0	20,480667E-3	23,094011E-6	Inf	3,000000E+0	250,000000E+0	3,719844491720E+9
281,887774E+0	269,100000E+0	0,000000E+0	289,700000E+0	0,000000E+0	8,860000E+0	0,000000E+0	20,427333E-3	80,829038E-6	Inf	3,000000E+0	250,000000E+0	3,719844501660E+9
282,147653E+0	269,300000E+0	0,000000E+0	290,000000E+0	0,000000E+0	8,880000E+0	0,000000E+0	20,354000E-3	60,000000E-6	Inf	3,000000E+0	250,000000E+0	3,719844511660E+9
282,387631E+0	269,500000E+0	0,000000E+0	290,266667E+0	57,735027E-3	8,866667E+0	5,773503E-3	20,227333E-3	57,735027E-6	Inf	3,000000E+0	250,000000E+0	3,719844521660E+9
282,607718E+0	269,700000E+0	0,000000E+0	290,500000E+0	0,000000E+0	8,860000E+0	0,000000E+0	20,060667E-3	147,422296E-6	Inf	3,000000E+0	250,000000E+0	3,719844531650E+9
282,881055E+0	269,933333E+0	57,735027E-3	290,800000E+0	0,000000E+0	8,866667E+0	5,773503E-3	19,834000E-3	52,915026E-6	Inf	3,000000E+0	250,000000E+0	3,719844541650E+9
283,108220E+0	270,200000E+0	0,000000E+0	291,000000E+0	0,000000E+0	8,863333E+0	5,773503E-3	19,940667E-3	57,735027E-6	Inf	3,000000E+0	250,000000E+0	3,719844551650E+9
283,328309E+0	270,400000E+0	0,000000E+0	291,233333E+0	57,735027E-3	8,873333E+0	5,773503E-3	19,620667E-3	41,633320E-6	Inf	3,000000E+0	250,000000E+0	3,719844561640E+9
283,568281E+0	270,600000E+0	0,000000E+0	291,500000E+0	0,000000E+0	8,866667E+0	5,773503E-3	19,567333E-3	94,516313E-6	Inf	3,000000E+0	250,000000E+0	3,719844571640E+9
283,788367E+0	270,800000E+0	0,000000E+0	291,733333E+0	57,735027E-3	8,860000E+0	0,000000E+0	19,434000E-3	124,899960E-6	Inf	3,000000E+0	250,000000E+0	3,719844581640E+9
284,028331E+0	271,000000E+0	0,000000E+0	292,000000E+0	0,000000E+0	8,806667E+0	5,773503E-3	19,567333E-3	50,332230E-6	Inf	3,000000E+0	250,000000E+0	3,719844591690E+9
284,281782E+0	271,233333E+0	57,735027E-3	292,266667E+0	57,735027E-3	8,810000E+0	0,000000E+0	19,294000E-3	103,923048E-6	Inf	3,000000E+0	250,000000E+0	3,719844601680E+9
284,528843E+0	271,500000E+0	0,000000E+0	292,500000E+0	0,000000E+0	8,820000E+0	0,000000E+0	19,247333E-3	151,437556E-6	Inf	3,000000E+0	250,000000E+0	3,719844611680E+9
